id;name;code;level;supergroup;supergroup_id;deepest level?
3;Muscular system;Musc[];1;;;0
4;Muscles of head and neck;Musc[1];2;Muscular system;3;0
5;Muscles of head;Musc[1-1];3;Muscles of head and neck;4;0
6;Muscles of facial expression;Musc[1-1-1];4;Muscles of head;5;0
7;Occipitofrontalis;Musc[1-1-1-1];5;Muscles of facial expression;6;0
8;Frontalis;Musc[1-1-1-1-1];6;Occipitofrontalis;7;0
9;Left frontalis;Musc[1-1-1-1-1-1];7;Frontalis;8;1
10;Right frontalis;Musc[1-1-1-1-1-2];7;Frontalis;8;1
11;Epicranial aponeurosis;Musc[1-1-1-1-2];6;Occipitofrontalis;7;1
12;Occipitalis;Musc[1-1-1-1-3];6;Occipitofrontalis;7;0
13;Left occipitalis;Musc[1-1-1-1-3-1];7;Occipitalis;12;1
14;Right occipitalis;Musc[1-1-1-1-3-2];7;Occipitalis;12;1
15;Temporoparietalis;Musc[1-1-1-2];5;Muscles of facial expression;6;0
16;Right temporoparietalis;Musc[1-1-1-2-1];6;Temporoparietalis;15;1
17;Left temporoparietalis;Musc[1-1-1-2-2];6;Temporoparietalis;15;1
18;Orbicularis oculi muscles;Musc[1-1-1-3];5;Muscles of facial expression;6;0
19;Right orbicularis oculi muscles;Musc[1-1-1-3-1];6;Orbicularis oculi muscles;18;0
20;Right depressor supercilii;Musc[1-1-1-3-1-1];7;Right orbicularis oculi muscles;19;1
21;Right orbicularis oculi;Musc[1-1-1-3-1-2];7;Right orbicularis oculi muscles;19;1
22;Left orbicularis oculi muscles;Musc[1-1-1-3-2];6;Orbicularis oculi muscles;18;0
23;Left depressor supercilii;Musc[1-1-1-3-2-1];7;Left orbicularis oculi muscles;22;1
24;Left orbicularis oculi;Musc[1-1-1-3-2-2];7;Left orbicularis oculi muscles;22;1
25;Corrugator supercilii;Musc[1-1-1-4];5;Muscles of facial expression;6;0
26;Right corrugator supercilii;Musc[1-1-1-4-1];6;Corrugator supercilii;25;1
27;Left corrugator supercilii;Musc[1-1-1-4-2];6;Corrugator supercilii;25;1
28;Levator labii superioris alaeque nasi;Musc[1-1-1-5];5;Muscles of facial expression;6;0
29;Right levator labii superioris alaeque nasi;Musc[1-1-1-5-1];6;Levator labii superioris alaeque nasi;28;1
30;Left levator labii superioris alaeque nasi;Musc[1-1-1-5-2];6;Levator labii superioris alaeque nasi;28;1
31;Procerus;Musc[1-1-1-6];5;Muscles of facial expression;6;0
32;Right procerus;Musc[1-1-1-6-1];6;Procerus;31;1
33;Left procerus;Musc[1-1-1-6-2];6;Procerus;31;1
34;Nasalis;Musc[1-1-1-7];5;Muscles of facial expression;6;0
35;Right nasalis;Musc[1-1-1-7-1];6;Nasalis;34;1
36;Left nasalis;Musc[1-1-1-7-2];6;Nasalis;34;1
37;Depressor septi nasi;Musc[1-1-1-8];5;Muscles of facial expression;6;0
38;Right depressor septi nasi;Musc[1-1-1-8-1];6;Depressor septi nasi;37;1
39;Left depressor septi nasi;Musc[1-1-1-8-2];6;Depressor septi nasi;37;1
40;Levator labii superioris;Musc[1-1-1-9];5;Muscles of facial expression;6;0
41;Right levator labii superioris;Musc[1-1-1-9-1];6;Levator labii superioris;40;1
42;Left levator labii superioris;Musc[1-1-1-9-2];6;Levator labii superioris;40;1
43;Levator anguli oris;Musc[1-1-1-10];5;Muscles of facial expression;6;0
44;Right levator anguli oris;Musc[1-1-1-10-1];6;Levator anguli oris;43;1
45;Left levator anguli oris;Musc[1-1-1-10-2];6;Levator anguli oris;43;1
46;Zygomaticus muscles;Musc[1-1-1-11];5;Muscles of facial expression;6;0
47;Zygomaticus major;Musc[1-1-1-11-1];6;Zygomaticus muscles;46;0
48;Right zygomaticus major;Musc[1-1-1-11-1-1];7;Zygomaticus major;47;1
49;Left zygomaticus major;Musc[1-1-1-11-1-2];7;Zygomaticus major;47;1
50;Zygomaticus minor;Musc[1-1-1-11-2];6;Zygomaticus muscles;46;0
51;Right zygomaticus minor;Musc[1-1-1-11-2-1];7;Zygomaticus minor;50;1
52;Left zygomaticus minor;Musc[1-1-1-11-2-2];7;Zygomaticus minor;50;1
53;Buccal fat pad;Musc[1-1-1-12];5;Muscles of facial expression;6;0
54;Right buccal fat pad;Musc[1-1-1-12-1];6;Buccal fat pad;53;1
55;Left buccal fat pad;Musc[1-1-1-12-2];6;Buccal fat pad;53;1
56;Orbicularis oris;Musc[1-1-1-13];5;Muscles of facial expression;6;1
57;Risorius;Musc[1-1-1-14];5;Muscles of facial expression;6;0
58;Right risorius;Musc[1-1-1-14-1];6;Risorius;57;1
59;Left risorius;Musc[1-1-1-14-2];6;Risorius;57;1
60;Depressor anguli oris;Musc[1-1-1-15];5;Muscles of facial expression;6;0
